Data;Número de dias úteis - - - Instituto de Pesquisa Econômica Aplicada (IPEA) - SGS12_NDIASUTEISPAS12;
1970.01;21;
1970.02;19;
1970.03;21;
1970.04;21;
1970.05;19;
1970.06;22;
1970.07;23;
1970.08;21;
1970.09;21;
1970.10;21;
1970.11;20;
1970.12;22;
1971.01;20;
1971.02;19;
1971.03;23;
1971.04;20;
1971.05;21;
1971.06;21;
1971.07;22;
1971.08;22;
1971.09;21;
1971.10;20;
1971.11;20;
1971.12;23;
1972.01;21;
1972.02;20;
1972.03;22;
1972.04;19;
1972.05;22;
1972.06;21;
1972.07;21;
1972.08;23;
1972.09;20;
1972.10;21;
1972.11;20;
1972.12;20;
1973.01;22;
1973.02;20;
1973.03;21;
1973.04;20;
1973.05;22;
1973.06;20;
1973.07;22;
1973.08;23;
1973.09;19;
1973.10;22;
1973.11;20;
1973.12;20;
1974.01;22;
1974.02;19;
1974.03;21;
1974.04;21;
1974.05;22;
1974.06;19;
1974.07;23;
1974.08;22;
1974.09;21;
1974.10;23;
1974.11;20;
1974.12;21;
1975.01;22;
1975.02;19;
1975.03;20;
1975.04;21;
1975.05;20;
1975.06;21;
1975.07;23;
1975.08;21;
1975.09;22;
1975.10;23;
1975.11;20;
1975.12;22;
1976.01;21;
1976.02;20;
1976.03;22;
1976.04;20;
1976.05;21;
1976.06;21;
1976.07;22;
1976.08;22;
1976.09;21;
1976.10;20;
1976.11;20;
1976.12;23;
1977.01;21;
1977.02;19;
1977.03;23;
1977.04;19;
1977.05;22;
1977.06;21;
1977.07;21;
1977.08;23;
1977.09;21;
1977.10;20;
1977.11;20;
1977.12;22;
1978.01;22;
1978.02;19;
1978.03;22;
1978.04;19;
1978.05;21;
1978.06;22;
1978.07;21;
1978.08;23;
1978.09;20;
1978.10;21;
1978.11;20;
1978.12;20;
1979.01;22;
1979.02;19;
1979.03;22;
1979.04;20;
1979.05;22;
1979.06;20;
1979.07;22;
1979.08;23;
1979.09;19;
1979.10;22;
1979.11;20;
1979.12;20;
1980.01;22;
1980.02;20;
1980.03;21;
1980.04;20;
1980.05;21;
1980.06;20;
1980.07;23;
1980.08;21;
1980.09;22;
1980.10;23;
1980.11;20;
1980.12;22;
1981.01;21;
1981.02;20;
1981.03;21;
1981.04;20;
1981.05;20;
1981.06;21;
1981.07;23;
1981.08;21;
